signal,global_plv,high_R_plv,non_high_R_plv,high_minus_background,best_lag_days,best_lag_plv,p_circular,fdr_q
combo_Uranus_Pluto_Sun,0.0280137922180698,0.28496511064711805,0.044455438975697446,0.2405096716714206,80,0.5403440412577029,0.6376811594202898,0.8577104304990362
combo_Pluto_Sun,0.012339936696089638,0.23438370690722882,0.012160187093416262,0.22222351981381255,60,0.4177935789009192,0.6561719140429785,0.8577104304990362
combo_Jupiter_Pluto_Sun,0.03160830589575454,0.23375445732713843,0.042848162378781245,0.19090629494835717,71,0.4648844431689109,0.6071964017991005,0.8577104304990362
combo_Pluto_Sun_Moon,0.021100253949808103,0.21525973072414037,0.01287925152448362,0.20238047919965674,56,0.36470606345528567,0.6051974012993503,0.8577104304990362
combo_Mars_Pluto,0.009646666439315924,0.2087581670034658,0.018853942800791623,0.1899042242026742,240,0.2624292144073321,0.623688155922039,0.8577104304990362
combo_Mars_Sun_Moon,0.009444011132260854,0.20098157331021152,0.000921293214229003,0.2000602800959825,239,0.27044007733827513,0.6421789105447276,0.8577104304990362
combo_Mars_Neptune_Pluto,0.018179065101059003,0.19620092808363193,0.02946425977358752,0.1667366683100444,220,0.2975997360279656,0.6136931534232883,0.8577104304990362
combo_Mercury_Mars_Sun,0.026113135125512235,0.1876575883036072,0.018420657803749726,0.1692369304998575,240,0.30018427287275845,0.6446776611694153,0.8577104304990362
combo_Mars_Saturn_Uranus,0.004014593089633906,0.18586768176757895,0.013931238531830821,0.17193644323574814,169,0.3766366292293453,0.6146926536731634,0.8577104304990362
combo_Mercury_Jupiter_Saturn,0.04842659525721905,0.11916774229007292,0.054730151070449665,0.06443759121962325,129,0.25840274937445723,0.6421789105447276,0.8577104304990362
combo_Uranus_Neptune_Moon,0.004472042599551172,0.10208531140306591,0.006505834130320582,0.09557947727274534,179,0.2536687629189664,0.6541729135432284,0.8577104304990362
combo_Mercury_Saturn_Pluto,0.03282010472721956,0.09168510224047456,0.03351794118326917,0.05816716105720539,190,0.20240599006757704,0.6046976511744128,0.8577104304990362
combo_Pluto_Moon,0.01723511893772018,0.07524759804993288,0.020224316288680193,0.05502328176125268,135,0.18955905460080522,0.6226886556721639,0.8577104304990362
combo_Neptune_Moon,0.00043887532697181445,0.07136320949017047,0.0033003871589332933,0.06806282233123717,175,0.18811313964794116,0.6506746626686657,0.8577104304990362
combo_Mercury_Neptune_Moon,0.013357025810972973,0.06926418974206626,0.014702257523839671,0.05456193221822659,118,0.18008672788751953,0.6356821589205397,0.8577104304990362
combo_Venus_Mars_Sun,0.028883441985853728,0.18841001163257293,0.031720970982133515,0.15668904065043943,240,0.2765191803881867,0.6831584207896052,0.8787284679338652
combo_Mercury_Mars_Pluto,0.02638520948507673,0.1499441964672563,0.027586857515481913,0.12235733895177438,240,0.2720954621606982,0.6866566716641679,0.8787284679338652
Mercury,0.0258671024023004,0.09664309908748263,0.03196937382495947,0.06467372526252316,184,0.18976285710154536,0.6781609195402298,0.8787284679338652
combo_Mars_Uranus_Pluto,0.030167656718400274,0.19713894986619765,0.02386455124560482,0.17327439862059282,240,0.3953083783296793,0.7011494252873564,0.8848989298454222
combo_Mars_Jupiter,0.0953881849274944,0.18642882012677686,0.09830120358173614,0.08812761654504073,198,0.4038621439588916,0.6966516741629185,0.8848989298454222
