date,theta_residual_minus_sun_rad,optimal_composite_phase_rad,phase_misalignment_rad,R,high_R
1999-09-13,-1.808816847426547,0.6176514197788583,-2.426468267205405,-1.4102897057508752,False
1999-09-14,-1.8338874850507612,0.6697214692728215,-2.5036089543235827,-1.4052972689659038,False
1999-09-15,-1.8587735887612045,0.7203509452879082,-2.5791245340491127,-1.3995529117536754,False
1999-09-16,-1.8835178593981734,0.769814292153749,-2.6533321515519224,-1.393142378790157,False
1999-09-17,-1.908131335832672,0.8181788095599356,-2.7263101453926075,-1.3862916349834236,False
1999-09-18,-1.9326543818613713,0.8655764304980664,-2.7982308123594377,-1.379195802732562,False
1999-09-19,-1.9570993061424389,0.91196958772285,-2.869068893865289,-1.3718583456135354,False
1999-09-20,-1.9815062496257863,0.9574129037592378,-2.938919153385024,-1.3641582286898863,False
1999-09-21,-2.005887129392221,1.001870790342445,-3.007757919734666,-1.3559919969041234,False
1999-09-22,-2.030273115749851,1.045372300689598,-3.075645416439449,-1.3472650922173484,False
1999-09-23,-2.0546648684209714,1.087902066147242,3.1406183726113728,-1.337897488193818,False
1999-09-24,-2.0790787012368543,1.1294695906274361,3.0746370153152958,-1.3279951719620176,False
1999-09-25,-2.103506377034492,1.1700803170782192,3.009598613066875,-1.3177702260006368,False
1999-09-26,-2.1279535824450777,1.209725008621568,2.9455067161129405,-1.3074046263510024,False
1999-09-27,-2.152403815270283,1.2484284417493878,2.8823530501599155,-1.2969029815588788,False
1999-09-28,-2.176853113048878,1.2861639958252553,2.8201681983054527,-1.2861223360936782,False
1999-09-29,-2.201282363196512,1.3229743773520752,2.758928566630999,-1.2749416899909176,False
1999-09-30,-2.2256844846683848,1.3588183054934486,2.698682517017753,-1.2633475277140611,False
1999-10-01,-2.250040690182187,1.3937551268318176,2.6393894901655814,-1.251301306204461,False
1999-10-02,-2.2743389145145496,1.4277334325504922,2.5811129601145444,-1.23874958489493,False
1999-10-03,-2.298549070932779,1.4608281208863678,2.5238081153604393,-1.22554305674997,False
1999-10-04,-2.322642664611803,1.4929866402838146,2.4675560022839687,-1.2116240713105515,False
1999-10-05,-2.3465877275157805,1.5243006657268303,2.4122969139369754,-1.197037122262783,False
1999-10-06,-2.370363003466406,1.5547436220442732,2.358078681668907,-1.1818565452439898,False
1999-10-07,-2.393950876992519,1.5844416726009172,2.30479275758615,-1.1661830117432228,False
1999-10-08,-2.4173392249937375,1.6134684004357815,2.252377681750067,-1.1500293671221369,False
1999-10-09,-2.440519937832547,1.6411741772731547,2.2014911920738847,-1.1333514642208868,False
1999-10-10,-2.4634887558461944,1.6666467987795475,2.1530497525538443,-1.1162303469091943,False
1999-10-11,-2.4862516298118083,1.6900702480827725,2.1068634292850055,-1.0989322051790034,False
1999-10-12,-2.5088172003046383,1.7115874024119213,2.0627807044630266,-1.0816784946073283,False
1999-10-13,-2.5312061068937552,1.7316923917523974,2.0202868085334336,-1.0645646880052553,False
1999-10-14,-2.5534349619024708,1.7505826829005642,1.9791676623765513,-1.047482551372619,False
1999-10-15,-2.5755298542651293,1.76872620889419,1.938929244020267,-1.0302314424001169,False
1999-10-16,-2.5975082394584623,1.78626398194758,1.8994130857735438,-1.0128218958924955,False
1999-10-17,-2.619402058599637,1.8035886513048558,1.8601945972750933,-0.995393554434756,False
1999-10-18,-2.641235685192928,1.8207691856132762,1.821180436373382,-0.9780156170361716,False
1999-10-19,-2.663053654763713,1.8381204403228555,1.7820112120930176,-0.960679794524301,False
1999-10-20,-2.6848870962944966,1.8556468456222301,1.7426513652628595,-0.9433593442549768,False
1999-10-21,-2.7067797869392134,1.8735956350152065,1.7028098852251663,-0.925998819607036,False
1999-10-22,-2.7287516472520004,1.8919201006196626,1.6625135593079232,-0.9086131368041698,False
1999-10-23,-2.7508299237897393,1.9108129173325192,1.6215424660573277,-0.8912934949212631,False
1999-10-24,-2.77300593792906,1.9301896109868064,1.5799897582637197,-0.8741333052802731,False
1999-10-25,-2.7952801806910292,1.9502005347870357,1.5377045917015213,-0.8571616587396309,False
1999-10-26,-2.8176276839997154,1.9707345828400564,1.4948230403398144,-0.8404356235876088,False
