gx,gy,gz,energy
-0.028932994029634083,0.019515550890739274,0.9993908270190958,0.0006641235472359926
-0.029596451735373414,0.01849391561469848,0.9993908270190958,0.0006510529019904302
-0.03022385072365709,0.01744974835125048,0.9993908270190958,0.0006377773180183102
-0.03081442660546129,0.01638432125736417,0.9993908270190958,0.0006243614726302882
-0.031367459855045285,0.015298932391836972,0.9993908270190958,0.0006108707264765383
-0.03188227668658268,0.01419490413381021,0.9993908270190958,0.0005973708051162367
-0.032358249875065734,0.013073581571653751,0.9993908270190958,0.0005839274788092434
-0.0327947995204823,0.01193633086418309,0.9993908270190958,0.0005706062420900072
-0.03319139375433477,0.010784537576205242,0.9993908270190958,0.0005574719946847785
-0.03354754938763985,0.00961960499042145,0.9993908270190958,0.0005445887253266658
-0.033862832499619924,0.008442952397743387,0.9993908270190958,0.0005320192000089602
-0.034136858966368686,0.007256013368105792,0.9993908270190958,0.0005198246561955248
-0.034369294928846945,0.006060234003882336,0.9993908270190958,0.0005080645044780277
-0.03455985719963844,0.004857071178032635,0.9993908270190958,0.0004967960391335103
-0.03470831360797007,0.003647990759126975,0.9993908270190958,0.0004860741589924289
-0.03481448328257625,0.002434465825411204,0.9993908270190958,0.00047595109997707107
-0.03487823687206265,0.001217974870087882,0.9993908270190958,0.00046647618061339345
-0.03489949670250097,4.273955692857142e-18,0.9993908270190958,0.00045769556175612
-0.03487823687206265,-0.0012179748700878736,0.9993908270190958,0.00044965202169769907
-0.03481448328257625,-0.0024344658254111954,0.9993908270190958,0.0004423847477567611
-0.03470831360797007,-0.003647990759126967,0.9993908270190958,0.0004359291453614428
-0.03455985719963844,-0.004857071178032641,0.9993908270190958,0.0004303166655576992
-0.034369294928846945,-0.006060234003882343,0.9993908270190958,0.0004255746517829696
-0.034136858966368686,-0.007256013368105799,0.9993908270190958,0.00042172620665169904
-0.033862832499619924,-0.00844295239774338,0.9993908270190958,0.00041879007940172244
-0.03354754938763985,-0.009619604990421443,0.9993908270190958,0.0004167805745498634
-0.033191393754334775,-0.010784537576205233,0.9993908270190958,0.0004157074822017656
-0.0327947995204823,-0.011936330864183083,0.9993908270190958,0.00041557603035548177
-0.032358249875065734,-0.013073581571653742,0.9993908270190958,0.0004163868594311938
-0.03188227668658269,-0.014194904133810204,0.9993908270190958,0.0004181360191511488
-0.03136745985504528,-0.015298932391836977,0.9993908270190958,0.0004208149877850163
-0.030814426605461288,-0.016384321257364175,0.9993908270190958,0.00042441071366690114
-0.030223850723657086,-0.017449748351250488,0.9993908270190958,0.00042890567878174765
-0.029596451735373418,-0.01849391561469847,0.9993908270190958,0.0004342779841113486
-0.02893299402963409,-0.019515550890739267,0.9993908270190958,0.0004405014563241608
-0.028234285927455725,-0.020513409474159864,0.9993908270190958,0.0004475457752891441
-0.0275011786970331,-0.02148627562798469,0.9993908270190958,0.00045537662179239417
-0.026734565516599966,-0.022432964064663857,0.9993908270190958,0.00046395584473690055
-0.02593538038622898,-0.023352321390163445,0.9993908270190958,0.0004732416470108585
-0.02510459698989646,-0.024243227509198474,0.9993908270190958,0.0004831887891189946
-0.02424322750919847,-0.025104596989896463,0.9993908270190958,0.0004937488095848415
-0.023352321390163442,-0.025935380386228984,0.9993908270190958,0.0005048702610501789
-0.022432964064663864,-0.02673456551659996,0.9993908270190958,0.0005164989609213919
-0.021486275627984684,-0.027501178697033102,0.9993908270190958,0.0005285782553416216
-0.02051340947415987,-0.02823428592745572,0.9993908270190958,0.0005410492952026582
-0.019515550890739263,-0.02893299402963409,0.9993908270190958,0.0005538513228518834
-0.01849391561469848,-0.029596451735373414,0.9993908270190958,0.0005669219680974459
-0.0174497483512505,-0.03022385072365708,0.9993908270190958,0.0005801975520695655
-0.016384321257364172,-0.03081442660546129,0.9993908270190958,0.0005936133974575878
-0.015298932391836988,-0.03136745985504528,0.9993908270190958,0.0006071041436113376
-0.014194904133810199,-0.031882276686582695,0.9993908270190958,0.0006206040649716396
-0.013073581571653753,-0.032358249875065734,0.9993908270190958,0.0006340473912786329
-0.011936330864183078,-0.0327947995204823,0.9993908270190958,0.0006473686279978689
-0.010784537576205244,-0.03319139375433477,0.9993908270190958,0.0006605028754030973
-0.00961960499042144,-0.033547549387639854,0.9993908270190958,0.0006733861447612104
-0.00844295239774339,-0.033862832499619924,0.9993908270190958,0.000685955670078916
-0.007256013368105808,-0.034136858966368686,0.9993908270190958,0.0006981502138923512
-0.0060602340038823374,-0.034369294928846945,0.9993908270190958,0.0007099103656098483
-0.004857071178032652,-0.03455985719963844,0.9993908270190958,0.0007211788309543656
-0.003647990759126962,-0.034708313607970075,0.9993908270190958,0.0007319007110954475
-0.002434465825411206,-0.03481448328257625,0.9993908270190958,0.0007420237701108051
-0.0012179748700878689,-0.03487823687206265,0.9993908270190958,0.000751498689474483
-6.410933539285712e-18,-0.03489949670250097,0.9993908270190958,0.000760279308331756
0.0012179748700878869,-0.03487823687206265,0.9993908270190958,0.0007683228483901773
0.0024344658254111936,-0.03481448328257625,0.9993908270190958,0.0007755901223311148
0.003647990759126949,-0.034708313607970075,0.9993908270190958,0.0007820457247264334
0.004857071178032639,-0.03455985719963844,0.9993908270190958,0.0007876582045301769
0.006060234003882325,-0.034369294928846945,0.9993908270190958,0.0007924002183049063
0.007256013368105797,-0.034136858966368686,0.9993908270190958,0.0007962486634361771
0.008442952397743378,-0.033862832499619924,0.9993908270190958,0.0007991847906861536
0.009619604990421457,-0.03354754938763985,0.9993908270190958,0.0008011942955380127
0.010784537576205231,-0.033191393754334775,0.9993908270190958,0.0008022673878861106
0.011936330864183093,-0.0327947995204823,0.9993908270190958,0.0008023988397323944
0.01307358157165374,-0.032358249875065734,0.9993908270190958,0.0008015880106566822
0.014194904133810188,-0.031882276686582695,0.9993908270190958,0.0007998388509367271
0.015298932391836976,-0.031367459855045285,0.9993908270190958,0.0007971598823028598
0.016384321257364158,-0.030814426605461295,0.9993908270190958,0.0007935641564209748
0.017449748351250488,-0.030223850723657086,0.9993908270190958,0.0007890691913061285
0.018493915614698465,-0.02959645173537342,0.9993908270190958,0.0007836968859765275
0.019515550890739277,-0.028932994029634083,0.9993908270190958,0.0007774734137637153
0.020513409474159857,-0.028234285927455728,0.9993908270190958,0.0007704290947987319
0.0214862756279847,-0.027501178697033092,0.9993908270190958,0.0007625982482954819
