date,theta_unwrapped,theta_smooth,omega_raw,omega_smooth,omega_filtered
1994-10-10,117.67565235139773,117.67564679712983,-28.708004314263235,-28.70798511054454,-28.70798511054454
1994-10-11,117.59716673084338,117.59716122861842,-28.626175805326056,-28.626156986494607,-28.626156986494607
1994-10-12,117.51890395547538,117.5188985042538,-28.545210987977043,-28.545192543773737,-28.545192543773737
1994-10-13,117.44086167409878,117.44085627286877,-28.465100072331552,-28.465081992788328,-28.465081992788328
1994-10-14,117.36303756219768,117.36303220997426,-28.38583335849762,-28.385815633941093,-28.385815633941093
1994-10-15,117.28542932169091,117.28542401751528,-28.30740123476062,-28.307383855761145,-28.307383855761145
1994-10-16,117.20803468069313,117.20802942363194,-28.22979417597162,-28.229777133365133,-28.229777133365133
1994-10-17,117.13085139328034,117.13084618242495,-28.15300274173933,-28.152986026609142,-28.152986026609142
1994-10-18,117.05387723925998,117.05387207372586,-28.07701757479299,-28.0770011784698,-28.0770011784698
1994-10-19,116.97711002394546,116.97710490287143,-28.001829399490816,-28.001813313549064,-28.001813313549064
1994-10-20,116.90054757793486,116.90054250048256,-27.92742902023383,-27.927413236466236,-27.927413236466236
1994-10-21,116.82418775689418,116.82418272224733,-27.853807319865155,-27.853791830308182,-27.853791830308182
1994-10-22,116.74802844134427,116.74802344870815,-27.78095525826211,-27.780940055170504,-27.780940055170504
1994-10-23,116.67206753645199,116.67206258505274,-27.708863870924688,-27.70884894676783,-27.70884894676783
1994-10-24,116.59630297182512,116.59629806090923,-27.637524267611298,-27.63750961504411,-27.63750961504411
1994-10-25,116.520732701311,116.52072783014485,-27.56692763087267,-27.56691324277199,-27.56691324277199
1994-10-26,116.4453547027992,116.44534987066824,-27.49706521472035,-27.497051084184932,-27.497051084184932
1994-10-27,116.37016697802716,116.37016218423561,-27.42792834350621,-27.42791446379124,-27.42791446379124
1994-10-28,116.2951675523898,116.29516279626002,-27.35950841056183,-27.35949477512986,-27.35949477512986
1994-10-29,116.22035447475228,116.22034975562431,-27.29179687693977,-27.2917834794207,-27.2917834794207
1994-10-30,116.1457258172663,116.14572113449732,-27.224785270223947,-27.224772104447766,-27.224772104447766
1994-10-31,116.07127967518916,116.07127502815305,-27.158465183481894,-27.158452243442298,-27.158452243442298
1994-11-01,115.99701416670645,115.99700955479328,-27.092828274075146,-27.092815553922264,-27.092815553922264
1994-11-02,115.9229274327575,115.92292285537313,-27.02786626248053,-27.027853756575496,-27.027853756575496
1994-11-03,115.84901763686402,115.84901309342946,-26.963570931322465,-26.963558634146466,-26.963558634146466
1994-11-04,115.77528296496112,115.77527845491241,-26.89993412429976,-26.89992203049769,-26.89992203049769
1994-11-05,115.70172162523195,115.70171714801943,-26.83694774517062,-26.836935849565634,-26.836935849565634
1994-11-06,115.6283318479444,115.62832740303247,-26.774603756770375,-26.774592054302047,-26.774592054302047
1994-11-07,115.55511188529074,115.55510747215745,-26.712894179967407,-26.71288266575357,-26.71288266575357
1994-11-08,115.48206001123005,115.48205562936653,-26.651811092826392,-26.65179976210493,-26.65179976210493
1994-11-09,115.4091745213327,115.40917017024306,-26.59134662971701,-26.591335477856774,-26.591335477856774
1994-11-10,115.33645373262787,115.3364494118286,-26.53149298026983,-26.531482002803386,-26.531482002803386
1994-11-11,115.26389598345311,115.26389169247278,-26.472242388575978,-26.4722315811523,-26.4722315811523
1994-11-12,115.19149963330638,115.19149537168533,-26.413587152459513,-26.41357651083308,-26.41357651083308
1994-11-13,115.11926306270038,115.11925882999041,-26.35551962245154,-26.355509142551455,-26.355509142551455
1994-11-14,115.04718467301922,115.04718046878298,-26.298032201084425,-26.298021878934378,-26.298021878934378
1994-11-15,114.9752628863769,114.97525871018794,-26.24111734214239,-26.241107173857017,-26.241107173857017
1994-11-16,114.90349614547836,114.90349199692064,-26.18476754981384,-26.184757531656942,-26.184757531656942
1994-11-17,114.8318829134826,114.83187879215008,-26.128975377967436,-26.128965506330132,-26.128965506330132
1994-11-18,114.76042167386736,114.76041757936378,-26.07373342943174,-26.07372370077792,-26.07372370077792
1994-11-19,114.68911093029617,114.68910686223485,-26.019034355260374,-26.019024766181246,-26.019024766181246
1994-11-20,114.61794920648737,114.61794516449073,-25.964870854113542,-25.964861401302187,-25.964861401302187
1994-11-21,114.5469350460847,114.54693102978416,-25.911235671464965,-25.911226351716323,-25.911226351716323
1994-11-22,114.47606701253004,114.47606302156557,-25.858121598965226,-25.858112409183377,-25.858112409183377
1994-11-23,114.40534368893776,114.40533972295773,-25.805521473866975,-25.805512411028758,-25.805512411028758
1994-11-24,114.33476367797084,114.33475973663174,-25.753428178351896,-25.75341923956148,-25.75341923956148
1994-11-25,114.26432560171882,114.26432168468493,-25.701834638883156,-25.70182582131747,-25.70182582131747
1994-11-26,114.19402810157727,114.19402420852053,-25.650733825579664,-25.650725126506586,-25.650725126506586
1994-11-27,114.1238698381291,114.12386596872875,-25.600118751732225,-25.60011016849603,-25.60011016849603
1994-11-28,114.05384949102702,114.05384564496953,-25.54998247315234,-25.549974003206444,-25.549974003206444
1994-11-29,113.98396575887837,113.98396193585694,-25.500318087604683,-25.50030972847162,-25.50030972847162
1994-11-30,113.91421735913052,113.91421355884515,-25.451118734246847,-25.45111048352919,-25.45111048352919
1994-12-01,113.84460302795851,113.84459925011556,-25.402377593116398,-25.40236944851131,-25.40236944851131
1994-12-02,113.7751215201538,113.77511776446585,-25.354087884668843,-25.354079843928048,-25.354079843928048
