theta1,theta2,omega1,omega2,state
82.55973698919657,-1.3055879664058623,-20.701432909207444,-8.298282115190409,1
82.50308100911685,-1.3285034456451612,-20.69359672411443,-8.369878792153951,1
82.44644903588942,-1.3516150703267924,-20.684828221322284,-8.44152091496581,1
82.38984376526662,-1.3749228839023122,-20.67507509497643,-8.513178908458627,1
82.33326803849816,-1.398426845453263,-20.66428420217892,-8.58482195648467,1
82.27672484446141,-1.4221268262871234,-20.65240162192258,-8.656417999567562,1
82.22021732161568,-1.4460226065357695,-20.639372719404594,-8.72793373581802,1
82.16374875975991,-1.4701138717686641,-20.62514221781861,-8.799334626314778,1
82.10732260157538,-1.4944002096324123,-20.609654276901736,-8.870584904734018,1
82.05094244393752,-1.518881106527923,-20.592852577228513,-8.94164759108525,1
81.99461203897447,-1.5435559443399383,-20.57468041275385,-9.012484510838656,1
81.9383352948545,-1.5684239972320808,-20.555080789818742,-9.083056318854995,1
81.88211627628307,-1.5934844285221035,-20.533996533213088,-9.153322528680706,1
81.82595920469149,-1.6187362876519913,-20.511370398826635,-9.223241547191636,1
81.7698684580961,-1.6441785072696158,-20.487145193965116,-9.292770715337271,1
81.71384857060902,-1.6698099004382414,-20.46126390465698,-9.36186635484062,1
81.65790423158532,-1.6956291579893967,-20.433669828404962,-9.430483820559408,1
81.6020402843851,-1.7216348460378645,-20.404306714881177,-9.498577559702792,1
81.54626172473695,-1.7478254036747485,-20.373118911485793,-9.566101176871975,1
81.49057369868505,-1.7741991408572213,-20.34005151545507,-9.63300750589812,1
81.43498150010686,-1.800754236511568,-20.30505053068649,-9.699248687750277,1
81.37949056778582,-1.8274887368684236,-20.26806303025798,-9.764776255341408,1
81.3241064820307,-1.854400554045972,-20.229037322058225,-9.829541224099483,1
81.26883496082897,-1.8814874648993312,-20.1879231189328,-9.893494189189541,1
81.21368185552764,-1.9087471101521378,-20.144671711310334,-9.956585428587553,1
81.15865314603519,-1.936176993826407,-20.099236142116546,-10.018765012026963,1
81.10375493554214,-1.9637744829854675,-20.051571382586427,-10.079982915346752,1
81.04899344475724,-1.9915368078049729,-20.001634509183877,-10.14018914032425,1
80.9943750056654,-2.0194610619830273,-19.949384878294744,-10.199333838534509,1
80.93990605480613,-2.0475442035038887,-19.89478430134965,-10.25736744049452,1
80.88559312608574,-2.075783055762745,-19.837797215123604,-10.314240787547412,1
80.83144284312775,-2.1041743090631857,-19.77839085040612,-10.369905267985875,1
80.77746191117922,-2.1327145224922877,-19.716535394200438,-10.424312954979406,1
80.72365710858863,-2.1614001261789815,-19.652204146213545,-10.477416746565044,1
80.67003527787509,-2.1902274239385857,-19.585373668119797,-10.529170506695365,1
80.61660331640904,-2.2191925963061947,-19.516023925473583,-10.57952920726931,1
80.56336816673542,-2.2482917039548203,-19.444138418291526,-10.628449068660398,1
80.51033680656289,-2.277520691497905,-19.36970430301475,-10.675887700111671,1
80.4575162384559,-2.306875391667506,-19.29271250108011,-10.721804236946921,1
80.40491347925916,-2.336351529862634,-19.213157796605707,-10.766159475770277,1
80.35253554929616,-2.3659447290548465,-19.13103891898625,-10.808916004955822,1
80.30038946137643,-2.3956505150406344,-19.046358612684056,-10.850038331308935,1
80.24848220965814,-2.425464322022351,-18.959123690105482,-10.889493000071838,1
80.19682075840416,-2.4553814985031295,-18.869345070515504,-10.927248709604527,1
80.14541203068025,-2.48539731347393,-18.777037801157945,-10.963276418084723,1
80.09426289703859,-2.5155069628721307,-18.68222106261592,-10.997549442693025,1
80.04338016423556,-2.5457055762870944,-18.584918156307335,-11.030043549815387,1
79.99277056402926,-2.575988223887715,-18.48515647535105,-11.060737036126667,1
79.94244074210337,-2.6063499235455456,-18.382967458429793,-11.089610800022697,1
79.89239724716688,-2.6367856481234075,-18.278386525552367,-11.116648402063978,1
79.84264652027316,-2.6672903329014326,-18.171452997931027,-11.141836115173556,1
79.79319488440335,-2.6978588831100496,-18.062210001450126,-11.16516296369751,1
79.74404853436035,-2.72848618153727,-17.950704353206678,-11.1866207505421,1
79.69521352701085,-2.7591670961811814,-17.8369864344035,-11.206204073688827,1
79.64669577192063,-2.7898964879125683,-17.721110046701433,-11.223910329888971,1
79.59850102241435,-2.820669218119481,-17.603132257168546,-11.239739708074705,1
79.55063486709868,-2.8514801562998606,-17.483113229050165,-11.253695170383871,1
79.50310272187782,-2.88232418757277,-17.361116041917565,-11.26578242243001,1
79.4559098224898,-2.9131962200783854,-17.237206501475473,-11.276009872676214,1
79.40906121758972,-2.944091192237076,-17.111452939753118,-11.284388580961583,1
79.36256176240073,-2.975004079840269,-16.98392600777956,-11.29093219706615,1
79.31641611294923,-3.005929902947496,-16.854698462161803,-11.295656889914849,1
79.27062872089842,-3.036863732565134,-16.72384494655897,-11.298581267842277,1
79.22520382899145,-3.0678006970834364,-16.59144176901782,-11.299726290310012,1
79.18014546710944,-3.0987359884519297,-16.45756667740522,-11.299115172342075,1
79.13545744894698,-3.1296648680745025,-16.322298633838642,-11.296773282144642,1
79.09114336930564,-3.1605826724065547,-16.185717588999204,-11.292728032282188,1
79.04720660199905,-3.1914848182413227,-16.047904258731958,-11.28700876614893,1
79.00365029836401,-3.2223668076717793,-15.908939902699663,-11.279646639474416,1
78.9604773863644,-3.2532242327194734,-15.768906107855575,-11.270674498670166,1
78.91769057027611,-3.2840527796216037,-15.627884576249679,-11.260126756003011,1
78.8752923309359,-3.314848232770842,-15.48595691900874,-11.248039262759493,1
