date,vx,vy,zach_75W_parallel,zach_75W_perp,adhikari_100W_parallel,adhikari_100W_perp,observed_326_parallel,observed_326_perp,v_mag,direction_deg
1973-04-24,-548.4228750000026,609.6022500000041,-446.8882722190495,-687.512490927553,-505.10838921908123,-645.9474190434088,-795.5484211634615,198.70898976306933,819.9893615336335,131.97583054761333
1973-04-25,-539.4742499999988,603.2103749999995,-443.03026965561514,-677.2144439463576,-500.3675335866672,-636.0248063189806,-784.5553836758784,198.41389282481327,809.2559687272633,131.80749101787023
1973-04-26,-530.3429999999994,597.3663749999976,-439.74874053237215,-666.8817952454764,-496.1979420003829,-626.0174805740027,-773.7173110136015,198.6751274506169,798.8180541460221,131.59872957942048
1973-04-27,-520.8465000000007,592.4354999999999,-437.44375608548705,-656.4326762771043,-492.991027990465,-615.8090162894704,-763.0870453979336,199.89762221785583,788.8351527553147,131.32069153856236
1973-04-28,-511.34999999999945,588.2351250000006,-435.8443804547052,-646.1726246211765,-490.5035160441211,-605.7274019987211,-752.865270198248,201.7257289318461,779.4224687444965,131.0002777906085
1973-04-29,-502.21875,585.1304999999962,-435.2088843918505,-636.5489783419725,-489.0316821962424,-596.195763730439,-743.559036595915,204.25800835796576,771.1039974489875,130.63956247396652
1973-04-30,-493.8180000000014,583.1216250000022,-435.4427342407144,-627.9145418475472,-488.512101449951,-587.5738025164135,-735.4711505643179,207.29021528823517,764.1250203118889,130.25967771356738
1973-05-01,-485.41725000000025,581.112750000003,-435.6765840895741,-619.2801053531181,-487.99252070365515,-578.9518413023845,-727.3832645327159,210.3224222185019,757.1802525225606,129.87280716854468
1973-05-02,-475.920749999999,578.9212499999977,-436.0176327030729,-609.5399888064192,-487.48336443213793,-569.2190644945448,-718.2848379769868,213.81596178605383,749.4333686073242,129.42300901411784
1973-05-03,-464.0501249999994,576.547125000002,-436.7967478780085,-597.459376779274,-487.2066201245394,-557.116518481642,-707.1160499903258,218.48569221887732,740.1007403443689,128.82982490497022
