date,phi_deg,theta_deg,quadrupole_power,dipole_magnitude,lambda1,lambda2,lambda3,phi_unwrapped_deg
1987-07-18,111.30944358776091,90.0,0.42817225676838316,0.33751130836571913,0.5282642261867196,-0.1949308928533863,-0.3333333333333333,111.30944358776091
1987-08-17,110.1999051563468,90.0,0.43148785561248304,0.24330451890738058,0.5305493324710551,-0.19721599913772164,-0.3333333333333333,110.1999051563468
1987-09-16,109.43226937658072,90.0,0.4332945549566748,0.2357771275222024,0.5317884876319495,-0.19845515429861624,-0.3333333333333333,109.43226937658072
1987-10-16,109.1793864411654,90.0,0.4337521311466381,0.322416026837874,0.5321016571095438,-0.19876832377621045,-0.3333333333333333,109.1793864411654
1987-11-15,109.62461046409328,90.0,0.43346281180629814,0.4523681350534488,0.5319036754292177,-0.1985703420958842,-0.3333333333333333,109.62461046409328
1987-12-15,110.97652959140042,90.0,0.43434734399000285,0.5972856102603513,0.5325086252521577,-0.19917529191882422,-0.3333333333333333,110.97652959140042
1988-01-14,113.46937155447148,90.0,0.4422545498161126,0.7457772951313363,0.537872730160682,-0.20453939682734873,-0.3333333333333333,113.46937155447148
1988-02-13,117.15199228171095,90.0,0.478158565112518,0.8869953937759874,0.5613132797560554,-0.22797994642272193,-0.3333333333333333,117.15199228171095
1988-03-14,119.06540824843493,90.0,0.5916170144170312,0.9784568871898063,0.6276169610316689,-0.2942836276983357,-0.3333333333333333,119.06540824843493
1988-04-13,118.55637926069761,90.0,0.622884550277639,0.9886163839827378,0.6442741852480707,-0.31094085191473736,-0.3333333333333333,118.55637926069761
1988-05-13,120.19618001622598,90.0,0.5834648879500154,0.9772169047178031,0.6231741809987688,-0.28984084766543533,-0.3333333333333333,120.19618001622598
1988-06-12,123.06854303574136,90.0,0.492143858927301,0.9437046320206903,0.5700753876065061,-0.23674205427317252,-0.3333333333333333,123.06854303574136
1988-07-12,123.85562893015181,90.0,0.38183573918369274,0.8656680110798735,0.4946674841328935,-0.16133415079956004,-0.3333333333333333,123.85562893015181
1988-08-11,121.86605335873735,90.0,0.32134940150145097,0.7582605134777054,0.44476982633478723,-0.11143649300145385,-0.3333333333333333,121.86605335873735
1988-09-10,119.1950951105925,90.0,0.2920320586949765,0.6499392721223827,0.4170317920618681,-0.0836984587285347,-0.3333333333333333,119.1950951105925
1988-10-10,116.32094185691929,90.0,0.2750103737863181,0.5574402407018625,0.39941514369675535,-0.06608181036342196,-0.3333333333333333,116.32094185691929
1988-11-09,113.0223780943532,90.0,0.26368632956063276,0.4954491677793574,0.38691614214159953,-0.05358280880826621,-0.3333333333333333,113.0223780943532
1988-12-09,108.9705545586777,90.0,0.2566990348822852,0.47733712166725756,0.37883684390137906,-0.045503510568045726,-0.3333333333333333,108.9705545586777
1989-01-08,104.00097264357676,90.0,0.2554605191826893,0.5070876506792472,0.37737244793052127,-0.04403911459718786,-0.3333333333333333,104.00097264357676
1989-02-07,98.3820205568157,90.0,0.26340170046634703,0.5754419825507269,0.38659282904813547,-0.053259495714802055,-0.3333333333333333,98.38202055681572
1989-03-09,92.88731976449105,90.0,0.2858087026787953,0.6677903997112186,0.4107384143271944,-0.0774050809938612,-0.3333333333333333,92.88731976449105
1989-04-08,88.43697351319808,90.0,0.3304277299965463,0.7711015008210441,0.45281441113609244,-0.11948107780275928,-0.3333333333333333,88.43697351319808
1989-05-08,85.80191859196708,90.0,0.40928802222570776,0.8729886178713294,0.5149634909121952,-0.1816301575788618,-0.3333333333333333,85.80191859196708
1989-06-07,85.94718002097981,90.0,0.5308543636902459,0.9540116797047125,0.5933912247973063,-0.2600578914639728,-0.3333333333333333,85.94718002097981
1989-07-07,88.78769868353082,90.0,0.6304792992741672,0.9903235449058637,0.64823318990489,-0.3148998565715565,-0.3333333333333333,88.78769868353082
1989-08-06,91.37552032937803,90.0,0.6563603842924979,0.9973894458601505,0.6614866933560839,-0.32815336002275064,-0.3333333333333333,91.37552032937803
1989-09-05,93.32312145140375,90.0,0.6538480183578239,0.9967465764647939,0.6602157279012907,-0.3268823945679572,-0.3333333333333333,93.32312145140375
1989-10-05,95.23205442686566,90.0,0.6397797623975858,0.9930813896188677,0.6530374592369645,-0.3197041259036309,-0.3333333333333333,95.23205442686566
1989-11-04,97.39592372000621,90.0,0.617417896692751,0.9870945581826318,0.6414040835752586,-0.3080707502419254,-0.3333333333333333,97.39592372000622
1989-12-04,99.92025668912348,90.0,0.5904033015201124,0.9796293588861618,0.6269582236462867,-0.2936248903129536,-0.3333333333333333,99.92025668912348
1990-01-03,102.83642364130834,90.0,0.5638817911616616,0.9720778270900643,0.6123207502870206,-0.2789874169536873,-0.3333333333333333,102.83642364130836
1990-02-02,106.12887892217282,90.0,0.5427830564281784,0.9659180654982932,0.6003234374898095,-0.26699010415647617,-0.3333333333333333,106.12887892217282
1990-03-04,109.73097276833944,90.0,0.5304915459891966,0.962252535936944,0.5931786121749549,-0.25984527884162134,-0.3333333333333333,109.73097276833944
1990-04-03,113.54173470252883,90.0,0.5282565276919502,0.9615411382646778,0.5918665379185778,-0.2585332045852444,-0.3333333333333333,113.54173470252883
1990-05-03,117.48380773162323,90.0,0.5348675166781925,0.9634537796448694,0.5957359209902117,-0.2624025876568783,-0.3333333333333333,117.48380773162323
1990-06-02,121.5845628123766,90.0,0.5458892561135377,0.9666474830230366,0.6021104572107914,-0.26877712387745795,-0.3333333333333333,121.5845628123766
1990-07-02,126.02370501424173,90.0,0.5511103369199121,0.9680065078276884,0.6050977731436396,-0.27176443981030607,-0.3333333333333333,126.02370501424173
1990-08-01,130.96063847886984,90.0,0.5310859579213643,0.9609470786580874,0.5935268845686735,-0.2601935512353402,-0.3333333333333333,130.96063847886984
1990-08-31,136.0272854750797,90.0,0.47206663372312213,0.937417762930118,0.5574351192421372,-0.22410178590880372,-0.3333333333333333,136.0272854750797
1990-09-30,140.73785502746028,90.0,0.39214594463133723,0.8987448149593731,0.5024339059595067,-0.1691005726261734,-0.3333333333333333,140.73785502746028
