theta1,theta2,omega1,omega2,state,impulse
77.13818489593113,-4.880808049880727,-8.001598456223292,-9.33528635690243,0,0
77.11642865922076,-4.906312037862032,-7.891874326211109,-9.295470529435192,0,0
77.0949713472592,-4.9317072724922815,-7.783231243587579,-9.255846705516774,0,0
77.07381000764738,-4.956994292238579,-7.675663569822063,-9.21642395496292,0,0
77.05294170416641,-4.982173659651559,-7.56916514166187,-9.177210811028203,0,0
77.03236351816533,-5.00724595992388,-7.463729306084133,-9.13821529017207,0,0
77.0120725498552,-5.032211799501918,-7.35934895381979,-9.099444911441651,0,0
76.99206591951334,-5.057071804750391,-7.256016551482389,-9.060906715509418,0,0
76.97234076860137,-5.081826620668295,-7.153724172445436,-9.022607283374555,0,0
76.95289426080042,-5.106476909655933,-7.052463526157226,-8.984552754524657,0,0
76.93372358296874,-5.131023350330306,-6.9522259861114435,-8.946748844599824,0,0
76.91482594602363,-5.155466636388854,-6.853002616850063,-8.909200862841544,0,0
76.89619858575122,-5.179807475520403,-6.754784199616552,-8.87191372904283,0,0
76.87783876354797,-5.20404658836171,-6.6575612567085045,-8.834891989963126,0,0
76.8597437670971,-5.228184707498299,-6.561324074647928,-8.798139835281972,0,0
76.84191091098316,-5.25222257650836,-6.466062726214659,-8.76166111312466,0,0
76.82433753724787,-5.276160949048604,-6.371767091215588,-8.725459344960768,0,0
76.80702101589094,-5.30000058797974,-6.278426876411686,-8.689537740168703,0,0
76.7899587453168,-5.323742264532074,-6.186031634457322,-8.653899210261102,0,0
76.7731481527317,-5.3473867575088905,-6.094570781580842,-8.618546382438467,0,0
76.75658669449363,-5.370934852526261,-6.004033614377477,-8.583481612691799,0,0
76.74027185641751,-5.3943873412881755,-5.914409325836459,-8.548706998566217,0,0
76.72420115403732,-5.417745020896233,-5.825687020447731,-8.514224391509515,0,0
76.70837213282847,-5.441008693192403,-5.737855728366412,-8.480035408724802,0,0
76.6927823683926,-5.464179164133604,-5.650904418720529,-8.446141444508271,0,0
76.67742946660687,-5.487257243196555,-5.564822012271179,-8.41254368129512,0,0
76.66231106373951,-5.510243742812838,-5.479597393206859,-8.379243100249141,0,0
76.64742482653455,-5.533139477831732,-5.395219420164722,-8.346240491368576,0,0
76.63276845226702,-5.555945265010613,-5.31167693658972,-8.313536463217702,0,0
76.61833966877087,-5.578661922531075,-5.228958780526227,-8.28113145232885,0,0
76.60413623444072,-5.601290269540819,-5.147053793843952,-8.249025732322252,0,0
76.5901559382091,-5.623831125719699,-5.065950830814472,-8.217219422576136,0,0
76.57639659950128,-5.646285310869093,-4.985638765940166,-8.185712496491533,0,0
76.56285606816972,-5.668653644523211,-4.906106501288377,-8.154504789359635,0,0
76.54953222440867,-5.690936945581535,-4.827342973503619,-8.123596006068283,0,0
76.5364229786502,-5.713136031962324,-4.749337160264986,-8.092985728492295,0,0
76.52352627144349,-5.735251720275537,-4.672078086208785,-8.06267342243791,0,0
76.51084007331845,-5.757284825514345,-4.595554828503737,-8.032658444421259,0,0
76.49836238463443,-5.779236160765182,-4.519756521945965,-8.00294004813145,0,0
76.48609123541594,-5.80110653693464,-4.444672363562859,-7.973517390477127,0,0
76.47402468517618,-5.822896762492641,-4.370291616876784,-7.944389537422012,0,0
76.46216082272942,-5.84460764323127,-4.296603615879576,-7.9155554696492345,0,0
76.45049776599271,-5.866239982038975,-4.223597768565014,-7.887014087819807,0,0
76.43903366177902,-5.887794578688189,-4.1512635602794035,-7.858764217723774,0,0
76.4277666855805,-5.909272229637738,-4.079590556819312,-7.830804615269699,0,0
76.4166950413447,-5.930673727847776,-4.0085684069617855,-7.803133971039642,0,0
76.40581696124394,-5.9519998626071535,-3.938186844898155,-7.775750914673608,0,0
76.39513070543833,-5.973251419372341,-3.8684356925205066,-7.7486540192180655,0,0
76.38463456183247,-5.994429179618614,-3.7993048613225255,-7.721841805177974,0,0
76.37432684582808,-6.015533920701173,-3.7307843540438625,-7.6953127442145615,0,0
76.3642059000718,-6.036566415726566,-3.6628642662981292,-7.669065262972481,0,0
76.3542700941988,-6.057527433434766,-3.595534787818906,-7.64309774656067,0,0
76.34451782457381,-6.078417738089662,-3.528786203431082,-7.617408541691248,0,0
76.33494751402942,-6.099238089378319,-3.462608894073128,-7.591995959931637,0,0
76.32555761160148,-6.119989242319268,-3.396993337672029,-7.5668582807725215,0,0
76.31634659226256,-6.1406719471785784,-3.3319301097981224,-7.541993754540044,0,0
76.30731295665392,-6.161286949394094,-3.2674098840525403,-7.5174006050460775,0,0
76.29845523081669,-6.181834989506004,-3.2034234323746205,-7.493077032135716,0,0
76.28977196592223,-6.202316803095042,-3.1399616252165288,-7.469021214145187,0,0
76.28126173800236,-6.22273312072651,-3.077015431610562,-7.445231310139889,0,0
76.27292314767932,-6.243084667900737,-3.0145759191891557,-7.421705462214732,0,0
76.26475481989591,-6.263372165009686,-2.952634254039367,-7.398441797537316,0,0
76.25675540364625,-6.283596327298613,-2.8911817005009652,-7.37543843033427,0,0
76.248923571707,-6.303757864833556,-2.8302096208790317,-7.352693463842343,0,0
76.24125802036971,-6.323857482473658,-2.7697094749109965,-7.330204991963228,0,0
76.23375746917498,-6.343895879847728,-2.709672819244588,-7.307971100865188,0,0
76.22642066064763,-6.363873751335343,-2.650091306941249,-7.28598987065152,0,0
76.21924636003361,-6.383791786052528,-2.590956686904974,-7.264259376862128,0,0
76.2122333550383,-6.40365066784109,-2.5322608032674907,-7.24277769197397,0,0
76.20538045556671,-6.423451075262515,-2.4739955946351984,-7.221542886736188,0,0
76.19868649346601,-6.443193681594608,-2.416153093265166,-7.200553031367917,0,0
