Longtitude,Latitude,Date,dLong,dLat
245.44,73.148,1730-01-01,-0.0169999999999959,-0.00400000000000489
245.422,73.149,1731-01-01,-0.0180000000000007,0.00100000000000477
245.405,73.157,1732-01-01,-0.0169999999999959,0.00799999999999557
245.391,73.171,1733-01-01,-0.01400000000001,0.01400000000001
245.378,73.193,1734-01-01,-0.0130000000000052,0.0219999999999914
245.369,73.22,1735-01-01,-0.00899999999998613,0.027000000000001
245.361,73.251,1736-01-01,-0.00800000000000978,0.0310000000000059
245.356,73.289,1737-01-01,-0.00499999999999545,0.0379999999999967
245.354,73.328,1738-01-01,-0.00199999999998113,0.0390000000000015
245.357,73.37,1739-01-01,0.0029999999999859,0.0420000000000016
245.365,73.413,1740-01-01,0.00800000000000978,0.0429999999999922
245.379,73.456,1741-01-01,0.0139999999999816,0.0430000000000064
245.399,73.5,1742-01-01,0.0200000000000102,0.0439999999999969
245.427,73.542,1743-01-01,0.0279999999999916,0.0420000000000016
245.461,73.585,1744-01-01,0.0340000000000202,0.0429999999999922
245.501,73.628,1745-01-01,0.039999999999992,0.0430000000000064
245.547,73.67,1746-01-01,0.0459999999999923,0.0420000000000016
245.599,73.712,1747-01-01,0.0519999999999925,0.0420000000000016
245.657,73.755,1748-01-01,0.0580000000000211,0.0429999999999922
245.723,73.799,1749-01-01,0.0660000000000025,0.0440000000000111
245.796,73.844,1750-01-01,0.0729999999999791,0.0449999999999875
245.879,73.889,1751-01-01,0.0829999999999984,0.0450000000000017
245.974,73.933,1752-01-01,0.0949999999999989,0.0440000000000111
246.08,73.978,1753-01-01,0.106000000000023,0.0449999999999875
246.204,74.02,1754-01-01,0.123999999999995,0.0420000000000016
246.348,74.057,1755-01-01,0.144000000000005,0.0370000000000061
246.514,74.09,1756-01-01,0.165999999999997,0.0330000000000013
246.704,74.115,1757-01-01,0.189999999999998,0.0249999999999915
246.918,74.135,1758-01-01,0.213999999999999,0.0200000000000102
247.154,74.146,1759-01-01,0.23599999999999,0.0109999999999957
247.41,74.15,1760-01-01,0.256,0.00400000000000489
247.682,74.148,1761-01-01,0.271999999999991,-0.00200000000000955
247.969,74.138,1762-01-01,0.287000000000006,-0.00999999999999091
248.268,74.121,1763-01-01,0.299000000000007,-0.0170000000000101
248.579,74.098,1764-01-01,0.311000000000007,-0.0229999999999961
248.9,74.069,1765-01-01,0.320999999999998,-0.0289999999999964
249.234,74.032,1766-01-01,0.334000000000003,-0.0370000000000061
249.579,73.987,1767-01-01,0.344999999999999,-0.0450000000000017
249.933,73.939,1768-01-01,0.353999999999985,-0.0480000000000018
250.294,73.885,1769-01-01,0.361000000000018,-0.0539999999999878
250.656,73.828,1770-01-01,0.361999999999995,-0.0570000000000022
251.015,73.769,1771-01-01,0.35899999999998,-0.0589999999999975
251.366,73.706,1772-01-01,0.351000000000028,-0.0630000000000024
251.707,73.64,1773-01-01,0.34099999999998,-0.0660000000000025
252.035,73.572,1774-01-01,0.328000000000003,-0.0679999999999978
252.347,73.501,1775-01-01,0.312000000000012,-0.070999999999998
252.645,73.429,1776-01-01,0.298000000000002,-0.0720000000000027
252.928,73.357,1777-01-01,0.282999999999987,-0.0720000000000027
253.2,73.281,1778-01-01,0.271999999999991,-0.0759999999999934
253.463,73.203,1779-01-01,0.263000000000005,-0.078000000000003
253.72,73.12,1780-01-01,0.257000000000005,-0.0829999999999984
253.973,73.035,1781-01-01,0.253000000000014,-0.085000000000008
254.225,72.945,1782-01-01,0.251999999999981,-0.0900000000000034
254.479,72.85,1783-01-01,0.254000000000019,-0.0949999999999989
254.735,72.753,1784-01-01,0.256,-0.0969999999999942
254.994,72.649,1785-01-01,0.258999999999986,-0.103999999999999
255.255,72.542,1786-01-01,0.260999999999996,-0.106999999999999
255.515,72.433,1787-01-01,0.259999999999991,-0.108999999999995
255.769,72.326,1788-01-01,0.254000000000019,-0.107000000000014
256.016,72.223,1789-01-01,0.247000000000014,-0.102999999999994
256.251,72.127,1790-01-01,0.234999999999957,-0.0960000000000036
256.473,72.04,1791-01-01,0.222000000000037,-0.0869999999999891
256.683,71.96,1792-01-01,0.20999999999998,-0.0800000000000125
256.882,71.89,1793-01-01,0.199000000000012,-0.0699999999999932
257.073,71.825,1794-01-01,0.190999999999974,-0.0649999999999977
257.26,71.767,1795-01-01,0.187000000000012,-0.0580000000000069
257.445,71.712,1796-01-01,0.185000000000002,-0.0549999999999926
257.629,71.662,1797-01-01,0.184000000000026,-0.0499999999999972
257.813,71.615,1798-01-01,0.183999999999969,-0.0470000000000113
257.995,71.574,1799-01-01,0.182000000000016,-0.0409999999999968
258.179,71.534,1800-01-01,0.183999999999969,-0.039999999999992
258.365,71.495,1801-01-01,0.186000000000035,-0.0390000000000015
258.551,71.457,1802-01-01,0.185999999999979,-0.0380000000000109
258.739,71.417,1803-01-01,0.187999999999988,-0.039999999999992
258.925,71.375,1804-01-01,0.186000000000035,-0.0420000000000016
259.109,71.331,1805-01-01,0.183999999999969,-0.0439999999999969
259.29,71.284,1806-01-01,0.18100000000004,-0.046999999999997
259.468,71.235,1807-01-01,0.177999999999997,-0.0490000000000066
259.642,71.185,1808-01-01,0.173999999999978,-0.0499999999999972
259.811,71.134,1809-01-01,0.168999999999983,-0.0510000000000019
259.976,71.082,1810-01-01,0.16500000000002,-0.0520000000000067
260.137,71.032,1811-01-01,0.161000000000001,-0.0499999999999972
260.292,70.983,1812-01-01,0.154999999999973,-0.0489999999999924
260.441,70.938,1813-01-01,0.149000000000001,-0.0450000000000017
260.583,70.897,1814-01-01,0.142000000000053,-0.0409999999999968
260.719,70.859,1815-01-01,0.135999999999967,-0.0380000000000109
260.847,70.825,1816-01-01,0.127999999999986,-0.0339999999999918
260.966,70.795,1817-01-01,0.119000000000028,-0.0300000000000011
261.077,70.768,1818-01-01,0.11099999999999,-0.027000000000001
261.179,70.744,1819-01-01,0.101999999999975,-0.0240000000000009
261.275,70.722,1820-01-01,0.0960000000000036,-0.0220000000000056
261.367,70.699,1821-01-01,0.0920000000000414,-0.0229999999999961
261.456,70.677,1822-01-01,0.0889999999999986,-0.0219999999999914
261.546,70.653,1823-01-01,0.089999999999975,-0.0240000000000009
261.632,70.627,1824-01-01,0.0860000000000127,-0.0260000000000105
261.705,70.602,1825-01-01,0.0729999999999791,-0.0249999999999915
261.755,70.579,1826-01-01,0.0500000000000114,-0.0230000000000103
261.789,70.557,1827-01-01,0.0339999999999918,-0.0219999999999914
261.813,70.533,1828-01-01,0.0240000000000009,-0.0240000000000009
261.836,70.504,1829-01-01,0.0230000000000246,-0.0289999999999964
261.872,70.464,1830-01-01,0.0360000000000014,-0.0400000000000063
261.931,70.411,1831-01-01,0.0589999999999691,-0.0529999999999973
262.011,70.346,1832-01-01,0.0800000000000409,-0.0649999999999977
262.108,70.271,1833-01-01,0.09699999999998,-0.0750000000000028
262.221,70.189,1834-01-01,0.113,-0.0820000000000078
262.35,70.105,1835-01-01,0.129000000000019,-0.083999999999989
262.496,70.021,1836-01-01,0.145999999999958,-0.0840000000000032
262.657,69.936,1837-01-01,0.161000000000001,-0.0849999999999938
262.829,69.848,1838-01-01,0.172000000000025,-0.0880000000000081
262.998,69.761,1839-01-01,0.168999999999983,-0.0870000000000033
263.14,69.681,1840-01-01,0.141999999999996,-0.0799999999999983
263.235,69.615,1841-01-01,0.0950000000000273,-0.0660000000000025
263.289,69.56,1842-01-01,0.0539999999999736,-0.0549999999999926
263.311,69.51,1843-01-01,0.0219999999999914,-0.0499999999999972
263.312,69.463,1844-01-01,0.0010000000000332,-0.0470000000000113
263.301,69.42,1845-01-01,-0.0110000000000241,-0.0429999999999922
263.287,69.379,1846-01-01,-0.01400000000001,-0.0409999999999968
263.27,69.341,1847-01-01,-0.0169999999999959,-0.0380000000000109
263.251,69.311,1848-01-01,-0.0190000000000055,-0.0299999999999869
263.231,69.288,1849-01-01,-0.0199999999999818,-0.0230000000000103
263.215,69.271,1850-01-01,-0.0160000000000196,-0.0169999999999959
263.206,69.259,1851-01-01,-0.00899999999995771,-0.0120000000000005
263.203,69.249,1852-01-01,-0.00300000000004275,-0.0100000000000051
263.204,69.24,1853-01-01,0.0010000000000332,-0.00900000000000034
263.208,69.23,1854-01-01,0.0040000000000191,-0.00999999999999091
263.214,69.219,1855-01-01,0.00599999999997181,-0.0110000000000099
263.221,69.205,1856-01-01,0.007000000000005,-0.0139999999999958
263.229,69.192,1857-01-01,0.00799999999998136,-0.0130000000000052
263.238,69.18,1858-01-01,0.00900000000001455,-0.0119999999999862
263.243,69.174,1859-01-01,0.00499999999999545,-0.00600000000000023
263.237,69.178,1860-01-01,-0.00599999999997181,0.00399999999999068
263.211,69.196,1861-01-01,-0.0260000000000105,0.0180000000000007
263.174,69.225,1862-01-01,-0.0370000000000346,0.0289999999999964
263.135,69.259,1863-01-01,-0.0389999999999873,0.034000000000006
263.101,69.296,1864-01-01,-0.0339999999999918,0.0370000000000061
263.076,69.336,1865-01-01,-0.0249999999999773,0.039999999999992
263.066,69.375,1866-01-01,-0.0100000000000477,0.0390000000000015
263.063,69.414,1867-01-01,-0.0029999999999859,0.0390000000000015
263.062,69.455,1868-01-01,-0.000999999999976353,0.0409999999999968
263.056,69.496,1869-01-01,-0.00600000000002865,0.0409999999999968
263.044,69.536,1870-01-01,-0.0120000000000005,0.0400000000000063
263.025,69.575,1871-01-01,-0.0190000000000055,0.0390000000000015
263.004,69.615,1872-01-01,-0.0209999999999582,0.039999999999992
262.986,69.659,1873-01-01,-0.0180000000000291,0.0440000000000111
262.968,69.708,1874-01-01,-0.0179999999999723,0.0489999999999924
262.942,69.76,1875-01-01,-0.0260000000000105,0.0520000000000067
262.9,69.812,1876-01-01,-0.04200000000003,0.0519999999999925
262.847,69.863,1877-01-01,-0.0529999999999973,0.0510000000000019
262.789,69.914,1878-01-01,-0.0579999999999927,0.0510000000000019
262.733,69.964,1879-01-01,-0.0559999999999832,0.0499999999999972
262.686,70.013,1880-01-01,-0.0470000000000255,0.0490000000000066
262.652,70.061,1881-01-01,-0.0339999999999918,0.0480000000000018
262.628,70.111,1882-01-01,-0.0240000000000009,0.0499999999999972
262.611,70.163,1883-01-01,-0.0169999999999959,0.0519999999999925
262.598,70.218,1884-01-01,-0.0129999999999768,0.0550000000000068
262.591,70.276,1885-01-01,-0.007000000000005,0.0579999999999927
262.589,70.335,1886-01-01,-0.00200000000000955,0.0589999999999975
262.59,70.394,1887-01-01,0.000999999999976353,0.0590000000000117
262.59,70.448,1888-01-01,0,0.0539999999999878
262.585,70.497,1889-01-01,-0.00499999999999545,0.0490000000000066
262.574,70.546,1890-01-01,-0.0109999999999673,0.0490000000000066
262.606,70.584,1891-01-01,0.0319999999999823,0.0379999999999967
262.718,70.6,1892-01-01,0.112000000000023,0.0159999999999911
262.894,70.592,1893-01-01,0.175999999999988,-0.00799999999999557
263.11,70.564,1894-01-01,0.216000000000008,-0.0280000000000058
263.338,70.525,1895-01-01,0.228000000000009,-0.0389999999999873
263.547,70.483,1896-01-01,0.209000000000003,-0.0420000000000016
263.712,70.449,1897-01-01,0.164999999999964,-0.034000000000006
263.813,70.43,1898-01-01,0.100999999999999,-0.0189999999999912
263.845,70.433,1899-01-01,0.0320000000000391,0.00300000000000011
263.814,70.46,1900-01-01,-0.0310000000000059,0.0269999999999868
263.756,70.499,1901-01-01,-0.0580000000000496,0.0390000000000015
263.697,70.539,1902-01-01,-0.0589999999999691,0.0400000000000063
263.638,70.578,1903-01-01,-0.0590000000000259,0.0390000000000015
263.579,70.618,1904-01-01,-0.0589999999999691,0.039999999999992
263.52,70.657,1905-01-01,-0.0590000000000259,0.0390000000000015
263.472,70.683,1906-01-01,-0.0480000000000018,0.0260000000000105
263.424,70.708,1907-01-01,-0.0480000000000018,0.0249999999999915
263.376,70.734,1908-01-01,-0.0480000000000018,0.0259999999999963
263.328,70.76,1909-01-01,-0.0480000000000018,0.0260000000000105
263.28,70.785,1910-01-01,-0.0480000000000018,0.0249999999999915
263.218,70.834,1911-01-01,-0.061999999999955,0.0490000000000066
263.156,70.883,1912-01-01,-0.0620000000000118,0.0489999999999924
263.094,70.931,1913-01-01,-0.0620000000000118,0.0480000000000018
263.031,70.981,1914-01-01,-0.0629999999999882,0.0499999999999972
262.968,71.03,1915-01-01,-0.0629999999999882,0.0490000000000066
262.898,71.091,1916-01-01,-0.0699999999999932,0.0609999999999928
262.827,71.152,1917-01-01,-0.0710000000000264,0.0610000000000071
262.756,71.214,1918-01-01,-0.0710000000000264,0.0619999999999976
262.686,71.275,1919-01-01,-0.0699999999999932,0.0610000000000071
262.615,71.337,1920-01-01,-0.0709999999999695,0.0619999999999976
262.494,71.426,1921-01-01,-0.120999999999981,0.0889999999999986
262.374,71.516,1922-01-01,-0.120000000000005,0.0900000000000034
262.252,71.606,1923-01-01,-0.122000000000014,0.0899999999999892
262.13,71.696,1924-01-01,-0.122000000000014,0.0900000000000034
262.007,71.786,1925-01-01,-0.12299999999999,0.0900000000000034
261.872,71.881,1926-01-01,-0.134999999999991,0.0949999999999989
261.735,71.977,1927-01-01,-0.137,0.0960000000000036
261.597,72.073,1928-01-01,-0.138000000000034,0.0959999999999894
261.457,72.17,1929-01-01,-0.139999999999986,0.0970000000000084
261.317,72.268,1930-01-01,-0.139999999999986,0.097999999999999
261.191,72.371,1931-01-01,-0.126000000000033,0.102999999999994
261.064,72.475,1932-01-01,-0.126999999999953,0.103999999999999
260.934,72.58,1933-01-01,-0.129999999999995,0.105000000000004
260.802,72.687,1934-01-01,-0.132000000000005,0.106999999999999
