lag_days,prob_condition_after_event,global_event_probability,body,lag_enrichment
164,0.12139423076923077,0.050024050024050026,Venus,2.42671736316568
165,0.12379807692307693,0.050024050024050026,Venus,2.4747711723372783
166,0.12620192307692307,0.050024050024050026,Venus,2.5228249815088755
167,0.12860576923076922,0.050024050024050026,Venus,2.570878790680473
168,0.1310096153846154,0.050024050024050026,Venus,2.618932599852071
169,0.13221153846153846,0.050024050024050026,Venus,2.6429595044378695
170,0.1310096153846154,0.050024050024050026,Venus,2.618932599852071
171,0.12980769230769232,0.050024050024050026,Venus,2.5949056952662723
172,0.12860576923076922,0.050024050024050026,Venus,2.570878790680473
173,0.12740384615384615,0.050024050024050026,Venus,2.5468518860946743
174,0.12620192307692307,0.050024050024050026,Venus,2.5228249815088755
175,0.125,0.050024050024050026,Venus,2.4987980769230766
176,0.12379807692307693,0.050024050024050026,Venus,2.4747711723372783
177,0.12259615384615384,0.050024050024050026,Venus,2.450744267751479
178,0.12139423076923077,0.050024050024050026,Venus,2.42671736316568
179,0.12139423076923077,0.050024050024050026,Venus,2.42671736316568
180,0.12139423076923077,0.050024050024050026,Venus,2.42671736316568
0,0.0985576923076923,0.050024050024050026,Mars,1.9702061760355027
1,0.09615384615384616,0.050024050024050026,Mars,1.9221523668639053
2,0.09254807692307693,0.050024050024050026,Mars,1.850071653106509
3,0.0889423076923077,0.050024050024050026,Mars,1.7779909393491125
4,0.08533653846153846,0.050024050024050026,Mars,1.705910225591716
5,0.0829326923076923,0.050024050024050026,Mars,1.6578564164201182
6,0.08052884615384616,0.050024050024050026,Mars,1.6098026072485208
7,0.078125,0.050024050024050026,Mars,1.561748798076923
8,0.07572115384615384,0.050024050024050026,Mars,1.5136949889053253
9,0.0733173076923077,0.050024050024050026,Mars,1.4656411797337279
10,0.07091346153846154,0.050024050024050026,Mars,1.41758737056213
